Question No: 1,,,,Question No: 2,,,,Question No: 3,,,,,Question No: 5,,,,,Question No: 6,,,Question No: 7,,,,,,Question No: 8,,,,,,,,,Question No: 9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Primary category,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Average of delivery_duration_min,,,Row Labels,Average of subtotal,,,,,,,,Row Labels,Average of delivery_duration_min,,,,"Correlation(price range, subtotal)",,,Row Labels,Count of above_average,Sum of above_average,,,,Row Labels,StdDevp of delivery_duration_min,Average of delivery_duration_min,,Row Labels,StdDevp of delivery_duration_min,,,,Row Labels,Average of delivery_duration_min,Average of ratio_column
,,,,,,,,,,,,,,,,,,,,,middle-eastern,1501,683,,,,,,,,middle-eastern,18.02174845,,,,,,
,,,,,,,,,,,,,,,,,,,,,moroccan,25,20,,,,,,,,moroccan,16.03862006,,,,,,
,,,,,,,,,,,,,,,,,,,,,nepalese,299,101,,,,,,,,nepalese,18.22438164,,,,,,
,,,,,,,,,,,,,,,,,,,,,other,3988,1218,,,,,,,,other,18.30254498,,,,,,
,,,,,,,,,,,,,,,,,,,,,pakistani,139,65,,,,,,,,pakistani,13.65256351,,,,,,
,,,,,,,,,,,,,,,,,,,,,pasta,633,271,,,,,,,,pasta,15.99458755,,,,,,
,,,,,,,,,,,,,,,,,,,,,persian,607,354,,,,,,,,persian,16.29086951,,,,,,
,,,,,,,,,,,,,,,,,,,,,peruvian,254,139,,,,,,,,peruvian,18.50841894,,,,,,
,,,,,,,,,,,,,,,,,,,,,pizza,17320,8336,,,,,,,,pizza,19.47074057,,,,,,
,,,,,,,,,,,,,,,,,,,,,russian,19,12,,,,,,,,russian,14.16244454,,,,,,
,,,,,,,,,,,,,,,,,,,,,salad,3745,1168,,,,,,,,salad,19.32501438,,,,,,
,,,,,,,,,,,,,,,,,,,,,sandwich,10059,2183,,,,,,,,sandwich,18.26864033,,,,,,
,,,,,,,,,,,,,,,,,,,,,seafood,2730,1396,,,,,,,,seafood,18.00184801,,,,,,
,,,,,,,,,,,,,,,,,,,,,singaporean,33,20,,,,,,,,singaporean,14.81324942,,,,,,
,,,,,,,,,,,,,,,,,,,,,smoothie,1659,448,,,,,,,,smoothie,20.30656195,,,,,,
,,,,,,,,,,,,,,,,,,,,,soup,74,14,,,,,,,,soup,20.9646789,,,,,,
,,,,,,,,,,,,,,,,,,,,,southern,156,88,,,,,,,,southern,17.9538557,,,,,,
,,,,,,,,,,,,,,,,,,,,,spanish,37,23,,,,,,,,spanish,22.02071297,,,,,,
,,,,,,,,,,,,,,,,,,,,,steak,1092,690,,,,,,,,steak,17.2732037,,,,,,
,,,,,,,,,,,,,,,,,,,,,sushi,2187,1239,,,,,,,,sushi,19.78128263,,,,,,
,,,,,,,,,,,,,,,,,,,,,tapas,146,62,,,,,,,,tapas,24.65672385,,,,,,
,,,,,,,,,,,,,,,,,,,,,thai,7225,3713,,,,,,,,thai,21.08837805,,,,,,
,,,,,,,,,,,,,,,,,,,,,turkish,237,106,,,,,,,,turkish,14.82755364,,,,,,
,,,,,,,,,,,,,,,,,,,,,Uncategorized,4760,1924,,,,,,,,Uncategorized,19.54806396,,,,,,
,,,,,,,,,,,,,,,,,,,,,vegan,279,103,,,,,,,,vegan,18.82543169,,,,,,
,,,,,,,,,,,,,,,,,,,,,vegetarian,845,325,,,,,,,,vegetarian,17.71391412,,,,,,
,,,,,,,,,,,,,,,,,,,,,vietnamese,6095,1635,,,,,,,,vietnamese,17.37637731,,,,,,
,,,,,,,,,,,,,,,,,,,,,Grand Total,197421,75890,,,,,,,,Grand Total,320.4926707,,,,,,
